"time","Amm_mgL"
"18/07/2020 16:",0.905565
"18/07/2020 17:",1.12958
"18/07/2020 18:",1.20111
"18/07/2020 19:",1.27938
"18/07/2020 20:",1.29017
"18/07/2020 21:",1.30292
"18/07/2020 22:",1.2686
"18/07/2020 23:",1.22558
"19/07/2020 00:",1.16081
"19/07/2020 01:",1.09748
"19/07/2020 02:",0.96606
"19/07/2020 03:",0.84229
"19/07/2020 04:",0.766696
"19/07/2020 05:",0.614591
"19/07/2020 06:",0.537215
"19/07/2020 07:",0.39635
"19/07/2020 08:",0.335976
"19/07/2020 09:",0.256151
"19/07/2020 10:",0.36202
"19/07/2020 11:",0.427178
"19/07/2020 12:",0.574996
"19/07/2020 13:",0.764993
"19/07/2020 14:",0.95851
"19/07/2020 15:",1.11751
"19/07/2020 16:",1.12786
"19/07/2020 17:",1.30409
"19/07/2020 18:",1.37655
"19/07/2020 19:",1.50042
"19/07/2020 20:",1.46738
"19/07/2020 21:",1.48503
"19/07/2020 22:",1.4834
"19/07/2020 23:",1.42689
"20/07/2020 00:",1.39352
"20/07/2020 01:",1.32093
"20/07/2020 02:",1.23196
"20/07/2020 03:",1.11337
"20/07/2020 04:",1.01935
"20/07/2020 05:",0.915262
"20/07/2020 06:",0.833604
"20/07/2020 07:",0.736493
"20/07/2020 08:",0.710581
"20/07/2020 09:",0.595326
"20/07/2020 10:",0.72404
"20/07/2020 11:",0.722169
"20/07/2020 12:",0.848159
"20/07/2020 13:",1.06077
"20/07/2020 14:",1.24193
"20/07/2020 15:",1.35282
"20/07/2020 16:",1.38236
"20/07/2020 17:",1.52735
"20/07/2020 18:",1.60183
"20/07/2020 19:",1.6469
"20/07/2020 20:",1.6544
"20/07/2020 21:",1.68081
"20/07/2020 22:",1.69963
"20/07/2020 23:",1.66353
"21/07/2020 00:",1.62291
"21/07/2020 01:",1.53534
"21/07/2020 02:",1.46915
"21/07/2020 03:",1.38214
"21/07/2020 04:",1.20119
"21/07/2020 05:",1.21042
"21/07/2020 06:",0.992001
"21/07/2020 07:",0.906392
"21/07/2020 08:",0.791466
"21/07/2020 09:",0.741316
"21/07/2020 10:",0.804729
"21/07/2020 11:",0.907658
"21/07/2020 12:",1.01802
"21/07/2020 13:",1.2665
"21/07/2020 14:",1.42971
"21/07/2020 15:",1.52848
"21/07/2020 16:",1.57849
"21/07/2020 17:",1.81671
"21/07/2020 18:",1.77841
"21/07/2020 19:",1.84381
"21/07/2020 20:",1.83082
"21/07/2020 21:",1.8611
"21/07/2020 22:",1.83876
"21/07/2020 23:",1.78125
"22/07/2020 00:",1.73905
"22/07/2020 01:",1.68526
"22/07/2020 02:",1.56033
"22/07/2020 03:",1.46132
"22/07/2020 04:",1.33209
"22/07/2020 05:",1.29493
"22/07/2020 06:",1.16482
"22/07/2020 07:",1.08422
"22/07/2020 08:",1.00848
"22/07/2020 09:",0.897721
"22/07/2020 10:",0.994344
"22/07/2020 11:",1.05247
"22/07/2020 12:",1.22411
"22/07/2020 13:",1.40327
"22/07/2020 14:",1.57141
"22/07/2020 15:",1.72313
"22/07/2020 16:",1.70083
"22/07/2020 17:",1.80638
"22/07/2020 18:",1.81008
"22/07/2020 19:",1.84305
"22/07/2020 20:",1.83936
"22/07/2020 21:",1.80148
"22/07/2020 22:",1.77876
"22/07/2020 23:",1.71708
"23/07/2020 00:",1.62994
"23/07/2020 01:",1.54876
"23/07/2020 02:",1.42515
"23/07/2020 03:",1.30789
"23/07/2020 04:",1.14757
"23/07/2020 05:",1.02192
"23/07/2020 06:",0.935083
"23/07/2020 07:",0.828036
"23/07/2020 08:",0.72785
"23/07/2020 09:",0.631215
"23/07/2020 10:",0.807075
"23/07/2020 11:",0.917364
"23/07/2020 12:",1.02656
"23/07/2020 13:",1.19967
